year,round,round_code,best of,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score
1995,First Round,1R,19,David Roe,ENG,13,10,Billy Snaddon,SCO,u,6
1995,First Round,1R,19,Jimmy White,ENG,4,10,Peter Francisco,RSA,u,2
1995,First Round,1R,19,Gary Wilkinson,ENG,u,10,James Wattana,THA,3,8
1995,First Round,1R,19,Terry Griffiths,WAL,14,10,Alain Robidoux,CAN,u,6
1995,First Round,1R,19,Nigel Bond,ENG,11,10,Stephen Lee,ENG,u,8
1995,First Round,1R,19,Alan McManus,SCO,6,10,John Higgins,SCO,u,3
1995,First Round,1R,19,Mark Davis,ENG,u,10,Ken Doherty,IRL,7,7
1995,First Round,1R,19,Peter Ebdon,ENG,10,10,Rod Lawler,ENG,u,2
1995,First Round,1R,19,Willie Thorne,ENG,15,10,Tai Pichit,THA,u,6
1995,First Round,1R,19,Andy Hicks,ENG,u,10,Steve Davis,ENG,2,7
1995,Last 16,L16,25,Stephen Hendry,SCO,1,13,Tony Drago,MLT,16,6
1995,Last 16,L16,25,Ronnie O'Sullivan,ENG,9,13,Darren Morgan,WAL,8,8
1995,Last 16,L16,25,John Parrott,ENG,5,13,Joe Swail,NIR,12,11
1995,Last 16,L16,25,Jimmy White,ENG,4,13,David Roe,ENG,13,7
1995,Last 16,L16,25,Gary Wilkinson,ENG,u,13,Terry Griffiths,WAL,14,9
1995,Last 16,L16,25,Nigel Bond,ENG,11,13,Alan McManus,SCO,6,10
1995,Last 16,L16,25,Peter Ebdon,ENG,10,13,Mark Davis,ENG,u,7
1995,Last 16,L16,25,Andy Hicks,ENG,u,13,Willie Thorne,ENG,15,7
1995,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Ronnie O'Sullivan,ENG,9,8
1995,Quarter-Finals,QF,25,Jimmy White,ENG,4,13,John Parrott,ENG,5,11
1995,Quarter-Finals,QF,25,Nigel Bond,ENG,11,13,Gary Wilkinson,ENG,u,7
1995,Quarter-Finals,QF,25,Andy Hicks,ENG,u,13,Peter Ebdon,ENG,10,8
1995,Semi-Finals,SF,31,Stephen Hendry,SCO,1,16,Jimmy White,ENG,4,12
1995,Semi-Finals,SF,31,Nigel Bond,ENG,11,16,Andy Hicks,ENG,u,11
1995,The Final,FIN,35,Stephen Hendry,SCO,1,18,Nigel Bond,ENG,11,9
1996,First Round,1R,19,Stephen Hendry,SCO,1,10,Jason Ferguson,ENG,u,8
1996,First Round,1R,19,Gary Wilkinson,ENG,u,10,David Roe,ENG,16,9
1996,First Round,1R,19,Ken Doherty,IRL,9,10,Nick Terry,ENG,u,5
1996,First Round,1R,19,Darren Morgan,WAL,8,10,Drew Henry,SCO,u,8
1996,First Round,1R,19,James Wattana,THA,5,10,Jimmy Michie,ENG,u,8
1996,First Round,1R,19,Nigel Bond,ENG,12,10,Anthony Hamilton,ENG,u,9
1996,First Round,1R,19,Dave Harold,ENG,13,10,Neal Foulds,ENG,u,4
1996,First Round,1R,19,Rod Lawler,ENG,u,10,John Parrott,ENG,4,6
1996,First Round,1R,19,Ronnie O'Sullivan,ENG,3,10,Alain Robidoux,CAN,u,3
1996,First Round,1R,19,Tony Drago,MLT,14,10,Steve James,ENG,u,2
1996,First Round,1R,19,John Higgins,SCO,11,10,Martin Clark,ENG,u,5
1996,First Round,1R,19,Alan McManus,SCO,6,10,Mick Price,ENG,u,5
1996,First Round,1R,19,Jimmy White,ENG,7,10,Euan Henderson,SCO,u,9
1996,First Round,1R,19,Peter Ebdon,ENG,10,10,Dene O'Kane,NZL,u,1
1996,First Round,1R,19,Terry Griffiths,WAL,15,10,Jamie Burnett,SCO,u,9
1996,First Round,1R,19,Steve Davis,ENG,2,10,Willie Thorne,ENG,u,8
1996,Last 16,L16,25,Stephen Hendry,SCO,1,13,Gary Wilkinson,ENG,u,7
1996,Last 16,L16,25,Darren Morgan,WAL,8,13,Ken Doherty,IRL,9,5
1996,Last 16,L16,25,Nigel Bond,ENG,12,13,James Wattana,THA,5,4
1996,Last 16,L16,25,Dave Harold,ENG,13,13,Rod Lawler,ENG,u,6
1996,Last 16,L16,25,Ronnie O'Sullivan,ENG,3,13,Tony Drago,MLT,14,4
1996,Last 16,L16,25,John Higgins,SCO,11,13,Alan McManus,SCO,6,5
1996,Last 16,L16,25,Peter Ebdon,ENG,10,13,Jimmy White,ENG,7,12
1996,Last 16,L16,25,Steve Davis,ENG,2,13,Terry Griffiths,WAL,15,8
1996,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,8,5
1996,Quarter-Finals,QF,25,Nigel Bond,ENG,12,13,Dave Harold,ENG,13,7
1996,Quarter-Finals,QF,25,Ronnie O'Sullivan,ENG,3,13,John Higgins,SCO,11,12
1996,Quarter-Finals,QF,25,Peter Ebdon,ENG,10,13,Steve Davis,ENG,2,10
1996,Semi-Finals,SF,31,Stephen Hendry,SCO,1,16,Nigel Bond,ENG,12,7
1996,Semi-Finals,SF,31,Peter Ebdon,ENG,10,16,Ronnie O'Sullivan,ENG,3,14
1996,The Final,FIN,35,Stephen Hendry,SCO,1,18,Peter Ebdon,ENG,10,12
1997,First Round,1R,19,Stephen Hendry,SCO,1,10,Andy Hicks,ENG,u,6
1997,First Round,1R,19,Mark Williams,WAL,16,10,Terry Griffiths,WAL,u,9
1997,First Round,1R,19,Darren Morgan,WAL,9,10,Gary Wilkinson,ENG,u,5
1997,First Round,1R,19,Ronnie O'Sullivan,ENG,8,10,Mick Price,ENG,u,6
1997,First Round,1R,19,Stephen Lee,ENG,u,10,Nigel Bond,ENG,5,8
1997,First Round,1R,19,James Wattana,THA,12,10,Graeme Dott,SCO,u,9
