record_type,record_number,year,position_in_draw,result,result_code,tournament_stage,player,country,participation,matches_played,matches_won,matches_lost,frames_played,frames_won,frames_lost,match_win_pct,frame_win_pct
tournament,157,1983,29,Semi-Finals,SF,4,Tony Knowles,ENG,3,4,3,1,91,51,40,75,56.04395604
tournament,158,1983,30,First Round,1R,1,Graham Miles,ENG,7,1,0,1,13,3,10,0,23.07692308
tournament,159,1983,31,Last 16,L16,2,Ray Reardon,WAL,7,2,1,1,42,22,20,50,52.38095238
tournament,160,1983,32,First Round,1R,1,Eugene Hughes,IRL,1,1,0,1,17,7,10,0,41.17647059
tournament,161,1984,1,Winner,W,6,Steve Davis,ENG,6,5,5,0,113,70,43,100,61.94690265
tournament,162,1984,2,First Round,1R,1,Warren King,AUS,1,1,0,1,13,3,10,0,23.07692308
tournament,163,1984,3,Last 16,L16,2,John Spencer,ENG,8,2,1,1,31,15,16,50,48.38709677
tournament,164,1984,4,First Round,1R,1,Graham Miles,ENG,8,1,0,1,13,3,10,0,23.07692308
tournament,165,1984,5,Quarter-Finals,QF,3,Terry Griffiths,WAL,6,3,2,1,53,33,20,66.66666667,62.26415094
tournament,166,1984,6,First Round,1R,1,Paul Mifsud,MLT,1,1,0,1,12,2,10,0,16.66666667
tournament,167,1984,7,Last 16,L16,2,Bill Werbeniuk,CAN,7,2,1,1,32,15,17,50,46.875
tournament,168,1984,8,First Round,1R,1,Fred Davis,ENG,7,1,0,1,14,4,10,0,28.57142857
tournament,169,1984,9,First Round,1R,1,Alex Higgins,NIR,8,1,0,1,19,9,10,0,47.36842105
tournament,170,1984,10,Last 16,L16,2,Neal Foulds,ENG,1,2,1,1,38,16,22,50,42.10526316
tournament,171,1984,11,Quarter-Finals,QF,3,Doug Mountjoy,WAL,8,3,2,1,54,31,23,66.66666667,57.40740741
tournament,172,1984,12,First Round,1R,1,Mike Hallett,ENG,3,1,0,1,14,4,10,0,28.57142857
tournament,173,1984,13,Semi-Finals,SF,4,Dennis Taylor,NIR,8,4,3,1,81,45,36,75,55.55555556
tournament,174,1984,14,First Round,1R,1,Joe Johnson,ENG,1,1,0,1,11,1,10,0,9.090909091
tournament,175,1984,15,First Round,1R,1,Tony Knowles,ENG,4,1,0,1,17,7,10,0,41.17647059
tournament,176,1984,16,Last 16,L16,2,John Parrott,ENG,1,2,1,1,41,21,20,50,51.2195122
tournament,177,1984,17,Quarter-Finals,QF,3,Cliff Thorburn,CAN,8,3,2,1,58,31,27,66.66666667,53.44827586
tournament,178,1984,18,First Round,1R,1,Mario Morra,CAN,1,1,0,1,13,3,10,0,23.07692308
tournament,179,1984,19,First Round,1R,1,John Virgo,ENG,7,1,0,1,19,9,10,0,47.36842105
tournament,180,1984,20,Last 16,L16,2,Willie Thorne,ENG,7,2,1,1,43,21,22,50,48.8372093
tournament,181,1984,21,Runner-Up,TF,5,Jimmy White,ENG,4,5,4,1,121,68,53,80,56.19834711
tournament,182,1984,22,First Round,1R,1,Rex Williams,ENG,4,1,0,1,16,6,10,0,37.5
tournament,183,1984,23,Last 16,L16,2,Eddie Charlton,AUS,8,2,1,1,34,17,17,50,50
tournament,184,1984,24,First Round,1R,1,Roy Andrewartha,WAL,1,1,0,1,14,4,10,0,28.57142857
tournament,185,1984,25,Semi-Finals,SF,4,Kirk Stevens,CAN,6,4,3,1,79,50,29,75,63.29113924
tournament,186,1984,26,First Round,1R,1,Eddie Sinclair,SCO,1,1,0,1,11,1,10,0,9.090909091
tournament,187,1984,27,Last 16,L16,2,David Taylor,ENG,8,2,1,1,38,20,18,50,52.63157895
tournament,188,1984,28,First Round,1R,1,Marcel Gauvreau,CAN,1,1,0,1,15,5,10,0,33.33333333
tournament,189,1984,29,First Round,1R,1,Tony Meo,ENG,5,1,0,1,15,5,10,0,33.33333333
tournament,190,1984,30,Last 16,L16,2,Silvino Francisco,RSA,3,2,1,1,36,18,18,50,50
tournament,191,1984,31,Quarter-Finals,QF,3,Ray Reardon,WAL,8,3,2,1,53,25,28,66.66666667,47.16981132
