match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin,match_up
268,1987,Last 16,L16,2,25,23,Neal Foulds,ENG,13,13,56.52173913,W,Dennis Taylor,NIR,4,10,43.47826087,L,Neal Foulds,ENG,13,13,Dennis Taylor,NIR,4,10,3,Dennis Taylor v Neal Foulds
269,1987,Last 16,L16,2,25,18,Dene O'Kane,NZL,u,13,72.22222222,W,Doug Mountjoy,WAL,14,5,27.77777778,L,Dene O'Kane,NZL,u,13,Doug Mountjoy,WAL,14,5,8,Dene O'Kane v Doug Mountjoy
269,1987,Last 16,L16,2,25,18,Doug Mountjoy,WAL,14,5,27.77777778,L,Dene O'Kane,NZL,u,13,72.22222222,W,Dene O'Kane,NZL,u,13,Doug Mountjoy,WAL,14,5,8,Dene O'Kane v Doug Mountjoy
270,1987,Last 16,L16,2,25,24,Jimmy White,ENG,6,13,54.16666667,W,John Parrott,ENG,u,11,45.83333333,L,Jimmy White,ENG,6,13,John Parrott,ENG,u,11,2,Jimmy White v John Parrott
270,1987,Last 16,L16,2,25,24,John Parrott,ENG,u,11,45.83333333,L,Jimmy White,ENG,6,13,54.16666667,W,Jimmy White,ENG,6,13,John Parrott,ENG,u,11,2,Jimmy White v John Parrott
271,1987,Last 16,L16,2,25,23,Alex Higgins,NIR,7,10,43.47826087,L,Terry Griffiths,WAL,10,13,56.52173913,W,Terry Griffiths,WAL,10,13,Alex Higgins,NIR,7,10,3,Alex Higgins v Terry Griffiths
271,1987,Last 16,L16,2,25,23,Terry Griffiths,WAL,10,13,56.52173913,W,Alex Higgins,NIR,7,10,43.47826087,L,Terry Griffiths,WAL,10,13,Alex Higgins,NIR,7,10,3,Alex Higgins v Terry Griffiths
272,1987,Last 16,L16,2,25,17,Ray Reardon,WAL,15,4,23.52941176,L,Steve Davis,ENG,2,13,76.47058824,W,Steve Davis,ENG,2,13,Ray Reardon,WAL,15,4,9,Ray Reardon v Steve Davis
272,1987,Last 16,L16,2,25,17,Steve Davis,ENG,2,13,76.47058824,W,Ray Reardon,WAL,15,4,23.52941176,L,Steve Davis,ENG,2,13,Ray Reardon,WAL,15,4,9,Ray Reardon v Steve Davis
273,1987,Quarter-Finals,QF,3,25,25,Joe Johnson,ENG,1,13,52,W,Stephen Hendry,SCO,u,12,48,L,Joe Johnson,ENG,1,13,Stephen Hendry,SCO,u,12,1,Joe Johnson v Stephen Hendry
273,1987,Quarter-Finals,QF,3,25,25,Stephen Hendry,SCO,u,12,48,L,Joe Johnson,ENG,1,13,52,W,Joe Johnson,ENG,1,13,Stephen Hendry,SCO,u,12,1,Joe Johnson v Stephen Hendry
274,1987,Quarter-Finals,QF,3,25,22,Mike Hallett,ENG,u,9,40.90909091,L,Neal Foulds,ENG,13,13,59.09090909,W,Neal Foulds,ENG,13,13,Mike Hallett,ENG,u,9,4,Mike Hallett v Neal Foulds
